Name,Last,First,Player_Name,GID,Date,Starter,FD_Pts,FD_Sal,Pos,Team,H/A,Oppt,Team Score,Oppt Score,Minutes,Stat line
Hervey Kevin,Hervey,Kevin,Kevin Hervey,5956,20200209,,0,"3,500",SF,okc,H,bos,111,112,NA,
Collins Zach,Collins,Zach,Zach Collins,5155,20200209,,0,"3,500",PF,por,H,mia,115,109,NA,
Gordon Eric,Gordon,Eric,Eric Gordon,4077,20200209,,0,"4,700",SF,hou,H,uta,113,114,NA,
Winslow Justise,Winslow,Justise,Justise Winslow,4787,20200209,,0,"4,300",SF,mem,A,was,106,99,NA,
Wooten Kenny,Wooten,Kenny,Kenny Wooten,5875,20200209,,0,"3,500",PF,nyk,A,atl,135,140,NA,
Reddish Cam,Reddish,Cam,Cam Reddish,5880,20200209,,0,"4,000",SF,atl,H,nyk,140,135,NA,
Porter Otto,Porter,Otto,Otto Porter,4653,20200209,,0,"3,600",SF,chi,A,phi,111,118,NA,
Caboclo Bruno,Caboclo,Bruno,Bruno Caboclo,4708,20200209,,0,"3,500",SF,hou,H,uta,113,114,NA,
Hood Rodney,Hood,Rodney,Rodney Hood,4744,20200209,,0,"3,500",SF,por,H,mia,115,109,NA,
Markkanen Lauri,Markkanen,Lauri,Lauri Markkanen,5227,20200209,,0,"3,500",PF,chi,A,phi,111,118,NA,
Harkless Maurice,Harkless,Maurice,Maurice Harkless,4530,20200209,,0,"3,600",SF,nyk,A,atl,135,140,NA,
Valentine Denzel,Valentine,Denzel,Denzel Valentine,4901,20200209,,0,"3,500",SF,chi,A,phi,111,118,NA,
Strus Max,Strus,Max,Max Strus,5847,20200209,,0,"3,500",SF,chi,A,phi,111,118,NA,
Williams Johnathan,Williams,Johnathan,Johnathan Williams,5695,20200209,,0,"3,700",PF,was,H,mem,99,106,NA,
Roby Isaiah,Roby,Isaiah,Isaiah Roby,5919,20200209,,0,"3,500",PF,okc,H,bos,111,112,NA,
